price      , date          , volume
MYR RM3.91 , "Apr 7, 2023" , 435K
MYR RM3.99 , "Apr 14, 2023", 648K
MYR RM3.99 , "Apr 14, 2023", 648K
MYR RM3.98 , "Apr 20, 2023", 294K
MYR RM3.98 , "Apr 20, 2023", 294K
MYR RM4.00 , "Apr 28, 2023", 229K
MYR RM4.00 , "Apr 28, 2023", 229K
MYR RM4.00 , "Apr 28, 2023", 229K
MYR RM3.91 , "May 5, 2023" , 341K
MYR RM3.91 , "May 5, 2023" , 341K
MYR RM3.91 , "May 12, 2023", 816K
MYR RM3.91 , "May 12, 2023", 816K
MYR RM3.91 , "May 12, 2023", 816K
MYR RM3.95 , "May 19, 2023", 1M
MYR RM3.95 , "May 19, 2023", 1M
MYR RM3.88 , "May 26, 2023", 272K
MYR RM3.88 , "May 26, 2023", 272K
MYR RM3.94 , "Jun 2, 2023" , 270K
MYR RM3.94 , "Jun 2, 2023" , 270K
MYR RM3.94 , "Jun 2, 2023" , 270K
MYR RM3.95 , "Jun 9, 2023" , 512K
MYR RM3.95 , "Jun 9, 2023" , 512K
MYR RM4.00 , "Jun 16, 2023", 3.2M
MYR RM4.00 , "Jun 16, 2023", 3.2M
MYR RM3.95 , "Jun 23, 2023", 1.1M
MYR RM3.95 , "Jun 23, 2023", 1.1M
MYR RM3.95 , "Jun 23, 2023", 1.1M
MYR RM3.99 , "Jun 30, 2023", 1.3M
MYR RM3.99 , "Jun 30, 2023", 1.3M
MYR RM3.95 , "Jul 7, 2023" , 1.7M
MYR RM3.95 , "Jul 7, 2023" , 1.7M
MYR RM4.01 , "Jul 14, 2023", 3.9M
MYR RM4.01 , "Jul 14, 2023", 3.9M
MYR RM4.01 , "Jul 14, 2023", 3.9M
MYR RM4.10 , "Jul 21, 2023", 5.4M
MYR RM4.10 , "Jul 21, 2023", 5.4M
MYR RM3.93 , "Jul 28, 2023", 3.6M
MYR RM3.93 , "Jul 28, 2023", 3.6M
MYR RM3.95 , "Aug 4, 2023" , 3.6M
MYR RM3.95 , "Aug 4, 2023" , 3.6M
MYR RM3.95 , "Aug 4, 2023" , 3.6M
MYR RM3.93 , "Aug 11, 2023", 1.1M
MYR RM3.93 , "Aug 11, 2023", 1.1M
MYR RM3.97 , "Aug 18, 2023", 2.5M
MYR RM3.97 , "Aug 18, 2023", 2.5M
MYR RM3.82 , "Aug 25, 2023", 3.6M
MYR RM3.82 , "Aug 25, 2023", 3.6M
MYR RM3.82 , "Aug 25, 2023", 3.6M
MYR RM3.79 , "Sep 1, 2023" , 1.7M
MYR RM3.79 , "Sep 1, 2023" , 1.7M
